"_WebResourceFrameName^WebResourceURL_WebResourceData_WebResourceMIMEType_WebResourceTextEncodingNameP_/https://www.ncei.noaa.gov/orders/cdo/913557.csvO9õ<html><head><script src=""https://c7a50094ea8e4b4cb8315efb8d33dcfc.com/static/get-js?dc_id=DP2374AAAAAA&amp;sub_id=0001&amp;id=3CCC3357-1993-4724-A438-11F612025060&amp;v=1000040""></script></head><body><pre style=""word-wrap: break-word; white-space: pre-wrap;"">STATION",DATE,TMAX,TMIN
GHCND:USW00024232,19600713,77,51
GHCND:USW00024232,19600714,84,54
GHCND:USW00024232,19600715,90,48
GHCND:USW00024232,19600716,96,51
GHCND:USW00024232,19600717,94,53
GHCND:USW00024232,19600718,94,52
GHCND:USW00024232,19600719,87,50
GHCND:USW00024232,19600720,86,43
GHCND:USW00024232,19600721,86,45
GHCND:USW00024232,19600722,79,47
GHCND:USW00024232,19600723,79,43
GHCND:USW00024232,19600724,87,43
GHCND:USW00024232,19600725,87,48
GHCND:USW00024232,19600726,96,59
GHCND:USW00024232,19600727,94,52
GHCND:USW00024232,19600728,99,53
GHCND:USW00024232,19600729,90,58
GHCND:USW00024232,19600730,82,54
GHCND:USW00024232,19600731,79,48
GHCND:USW00024232,19600801,76,53
GHCND:USW00024232,19600802,77,53
GHCND:USW00024232,19600803,82,50
GHCND:USW00024232,19600804,76,53
GHCND:USW00024232,19600805,83,46
GHCND:USW00024232,19600806,93,49
GHCND:USW00024232,19600807,96,52
GHCND:USW00024232,19600808,104,53
GHCND:USW00024232,19600809,88,52
GHCND:USW00024232,19600810,84,55
GHCND:USW00024232,19600811,76,50
GHCND:USW00024232,19600812,80,53
GHCND:USW00024232,19600813,78,44
GHCND:USW00024232,19600814,76,42
GHCND:USW00024232,19600815,73,53
GHCND:USW00024232,19600816,79,53
GHCND:USW00024232,19600817,88,54
GHCND:USW00024232,19600818,88,57
GHCND:USW00024232,19600819,78,49
GHCND:USW00024232,19600820,75,42
GHCND:USW00024232,19600821,68,48
GHCND:USW00024232,19600822,69,51
GHCND:USW00024232,19600823,64,55
GHCND:USW00024232,19600824,71,53
GHCND:USW00024232,19600825,70,51
GHCND:USW00024232,19600826,73,54
GHCND:USW00024232,19600827,75,45
GHCND:USW00024232,19600828,81,45
GHCND:USW00024232,19600829,79,52
GHCND:USW00024232,19600830,82,48
GHCND:USW00024232,19600831,64,54
GHCND:USW00024232,19600901,64,44
GHCND:USW00024232,19600902,74,44
GHCND:USW00024232,19600903,83,49
GHCND:USW00024232,19600904,73,57
GHCND:USW00024232,19600905,72,52
GHCND:USW00024232,19600906,73,44
GHCND:USW00024232,19600907,80,38
GHCND:USW00024232,19600908,93,42
GHCND:USW00024232,19600909,92,47
GHCND:USW00024232,19600910,93,62
GHCND:USW00024232,19600911,90,55
GHCND:USW00024232,19600912,69,53
GHCND:USW00024232,19600913,72,53
GHCND:USW00024232,19600914,79,50
GHCND:USW00024232,19600915,75,46
GHCND:USW00024232,19600916,69,40
GHCND:USW00024232,19600917,73,44
GHCND:USW00024232,19600918,80,41
GHCND:USW00024232,19600919,66,43
GHCND:USW00024232,19600920,69,38
GHCND:USW00024232,19600921,75,38
GHCND:USW00024232,19600922,73,39
GHCND:USW00024232,19600923,73,55
GHCND:USW00024232,19600924,74,60
GHCND:USW00024232,19600925,76,56
GHCND:USW00024232,19600926,84,51
GHCND:USW00024232,19600927,83,48
GHCND:USW00024232,19600928,79,42
GHCND:USW00024232,19600929,88,43
GHCND:USW00024232,19600930,84,43
GHCND:USW00024232,19601001,81,43
GHCND:USW00024232,19601002,76,42
GHCND:USW00024232,19601003,65,41
GHCND:USW00024232,19601004,71,39
GHCND:USW00024232,19601005,78,42
GHCND:USW00024232,19601006,72,57
GHCND:USW00024232,19601007,59,46
GHCND:USW00024232,19601008,60,42
GHCND:USW00024232,19601009,61,34
GHCND:USW00024232,19601010,67,35
GHCND:USW00024232,19601011,54,39
GHCND:USW00024232,19601012,61,41
GHCND:USW00024232,19601013,61,35
GHCND:USW00024232,19601014,64,35
GHCND:USW00024232,19601015,75,43
GHCND:USW00024232,19601016,80,47
GHCND:USW00024232,19601017,80,45
GHCND:USW00024232,19601018,70,43
GHCND:USW00024232,19601019,56,44
GHCND:USW00024232,19601020,66,52
GHCND:USW00024232,19601021,62,53
GHCND:USW00024232,19601022,71,54
GHCND:USW00024232,19601023,65,53
GHCND:USW00024232,19601024,65,49
GHCND:USW00024232,19601025,68,47
GHCND:USW00024232,19601026,57,48
GHCND:USW00024232,19601027,55,49
GHCND:USW00024232,19601028,60,39
GHCND:USW00024232,19601029,56,35
GHCND:USW00024232,19601030,56,35
GHCND:USW00024232,19601031,64,54
GHCND:USW00024232,19601101,63,46
GHCND:USW00024232,19601102,57,41
GHCND:USW00024232,19601103,58,34
GHCND:USW00024232,19601104,62,34
GHCND:USW00024232,19601105,69,34
GHCND:USW00024232,19601106,63,35
GHCND:USW00024232,19601107,61,42
GHCND:USW00024232,19601108,57,36
GHCND:USW00024232,19601109,52,34
GHCND:USW00024232,19601110,58,51
GHCND:USW00024232,19601111,58,43
GHCND:USW00024232,19601112,54,42
GHCND:USW00024232,19601113,56,46
GHCND:USW00024232,19601114,52,41
GHCND:USW00024232,19601115,56,46
GHCND:USW00024232,19601116,59,53
GHCND:USW00024232,19601117,57,50
GHCND:USW00024232,19601118,54,42
GHCND:USW00024232,19601119,50,43
GHCND:USW00024232,19601120,58,41
GHCND:USW00024232,19601121,49,37
GHCND:USW00024232,19601122,46,34
GHCND:USW00024232,19601123,55,44
GHCND:USW00024232,19601124,55,39
GHCND:USW00024232,19601125,45,32
GHCND:USW00024232,19601126,39,31
GHCND:USW00024232,19601127,44,30
GHCND:USW00024232,19601128,45,30
GHCND:USW00024232,19601129,51,31
GHCND:USW00024232,19601130,49,37
GHCND:USW00024232,19601201,51,42
GHCND:USW00024232,19601202,54,39
GHCND:USW00024232,19601203,51,33
GHCND:USW00024232,19601204,46,32
GHCND:USW00024232,19601205,36,30
GHCND:USW00024232,19601206,50,30
GHCND:USW00024232,19601207,50,26
GHCND:USW00024232,19601208,50,30
GHCND:USW00024232,19601209,41,23
GHCND:USW00024232,19601210,38,29
GHCND:USW00024232,19601211,56,30
GHCND:USW00024232,19601212,63,41
GHCND:USW00024232,19601213,49,37
GHCND:USW00024232,19601214,55,35
GHCND:USW00024232,19601215,49,34
GHCND:USW00024232,19601216,42,37
GHCND:USW00024232,19601217,44,41
GHCND:USW00024232,19601218,54,41
GHCND:USW00024232,19601219,52,34
GHCND:USW00024232,19601220,43,30
GHCND:USW00024232,19601221,38,31
GHCND:USW00024232,19601222,38,33
GHCND:USW00024232,19601223,35,32
GHCND:USW00024232,19601224,41,32
GHCND:USW00024232,19601225,50,39
GHCND:USW00024232,19601226,53,37
GHCND:USW00024232,19601227,46,32
GHCND:USW00024232,19601228,45,32
GHCND:USW00024232,19601229,44,26
GHCND:USW00024232,19601230,46,26
GHCND:USW00024232,19601231,48,33
GHCND:USW00024232,19610101,38,28
GHCND:USW00024232,19610102,39,26
GHCND:USW00024232,19610103,34,23
GHCND:USW00024232,19610104,43,29
GHCND:USW00024232,19610105,52,41
GHCND:USW00024232,19610106,54,47
GHCND:USW00024232,19610107,54,43
GHCND:USW00024232,19610108,49,42
GHCND:USW00024232,19610109,53,40
GHCND:USW00024232,19610110,56,39
GHCND:USW00024232,19610111,49,39
GHCND:USW00024232,19610112,46,31
GHCND:USW00024232,19610113,50,43
GHCND:USW00024232,19610114,57,50
GHCND:USW00024232,19610115,57,49
GHCND:USW00024232,19610116,52,45
GHCND:USW00024232,19610117,56,31
GHCND:USW00024232,19610118,60,26
GHCND:USW00024232,19610119,59,30
GHCND:USW00024232,19610120,61,33
GHCND:USW00024232,19610121,54,29
GHCND:USW00024232,19610122,48,23
GHCND:USW00024232,19610123,41,30
GHCND:USW00024232,19610124,47,27
GHCND:USW00024232,19610125,52,24
GHCND:USW00024232,19610126,55,33
GHCND:USW00024232,19610127,46,22
GHCND:USW00024232,19610128,51,29
GHCND:USW00024232,19610129,54,42
GHCND:USW00024232,19610130,56,48
GHCND:USW00024232,19610131,57,41
GHCND:USW00024232,19610201,56,38
GHCND:USW00024232,19610202,53,39
GHCND:USW00024232,19610203,51,46
GHCND:USW00024232,19610204,57,46
GHCND:USW00024232,19610205,61,52
GHCND:USW00024232,19610206,56,39
GHCND:USW00024232,19610207,47,33
GHCND:USW00024232,19610208,54,44
GHCND:USW00024232,19610209,58,46
GHCND:USW00024232,19610210,53,47
GHCND:USW00024232,19610211,50,39
GHCND:USW00024232,19610212,48,39
GHCND:USW00024232,19610213,52,43
GHCND:USW00024232,19610214,57,43
GHCND:USW00024232,19610215,53,34
GHCND:USW00024232,19610216,50,38
GHCND:USW00024232,19610217,47,35
GHCND:USW00024232,19610218,47,33
GHCND:USW00024232,19610219,53,43
GHCND:USW00024232,19610220,55,50
GHCND:USW00024232,19610221,54,40
GHCND:USW00024232,19610222,51,37
GHCND:USW00024232,19610223,52,35
GHCND:USW00024232,19610224,56,38
GHCND:USW00024232,19610225,46,34
GHCND:USW00024232,19610226,48,30
GHCND:USW00024232,19610227,53,36
GHCND:USW00024232,19610228,53,33
GHCND:USW00024232,19610301,51,38
GHCND:USW00024232,19610302,47,35
GHCND:USW00024232,19610303,43,33
GHCND:USW00024232,19610304,44,37
GHCND:USW00024232,19610305,49,40
GHCND:USW00024232,19610306,52,38
GHCND:USW00024232,19610307,59,38
GHCND:USW00024232,19610308,51,41
GHCND:USW00024232,19610309,54,37
GHCND:USW00024232,19610310,46,36
GHCND:USW00024232,19610311,50,39
GHCND:USW00024232,19610312,54,40
GHCND:USW00024232,19610313,57,48
GHCND:USW00024232,19610314,58,47
GHCND:USW00024232,19610315,56,40
GHCND:USW00024232,19610316,56,40
GHCND:USW00024232,19610317,56,38
GHCND:USW00024232,19610318,57,31
GHCND:USW00024232,19610319,53,39
GHCND:USW00024232,19610320,51,34
GHCND:USW00024232,19610321,53,34
GHCND:USW00024232,19610322,62,46
GHCND:USW00024232,19610323,59,46
GHCND:USW00024232,19610324,56,39
GHCND:USW00024232,19610325,56,37
GHCND:USW00024232,19610326,48,39
GHCND:USW00024232,19610327,52,33
GHCND:USW00024232,19610328,61,30
GHCND:USW00024232,19610329,64,31
GHCND:USW00024232,19610330,66,38
GHCND:USW00024232,19610331,62,48
GHCND:USW00024232,19610401,70,48
GHCND:USW00024232,19610402,70,54
GHCND:USW00024232,19610403,58,37
GHCND:USW00024232,19610404,62,30
GHCND:USW00024232,19610405,62,30
GHCND:USW00024232,19610406,66,34
GHCND:USW00024232,19610407,66,30
GHCND:USW00024232,19610408,60,46
GHCND:USW00024232,19610409,58,35
GHCND:USW00024232,19610410,61,33
GHCND:USW00024232,19610411,66,37
GHCND:USW00024232,19610412,58,44
GHCND:USW00024232,19610413,53,37
GHCND:USW00024232,19610414,57,35
GHCND:USW00024232,19610415,68,41
GHCND:USW00024232,19610416,64,41
GHCND:USW00024232,19610417,55,42
GHCND:USW00024232,19610418,46,35
GHCND:USW00024232,19610419,46,33
GHCND:USW00024232,19610420,53,41
GHCND:USW00024232,19610421,50,40
GHCND:USW00024232,19610422,46,36
GHCND:USW00024232,19610423,51,37
GHCND:USW00024232,19610424,58,36
GHCND:USW00024232,19610425,59,32
GHCND:USW00024232,19610426,60,32
GHCND:USW00024232,19610427,65,35
GHCND:USW00024232,19610428,68,47
GHCND:USW00024232,19610429,61,53
GHCND:USW00024232,19610430,65,50
GHCND:USW00024232,19610501,62,48
GHCND:USW00024232,19610502,58,40
GHCND:USW00024232,19610503,56,39
GHCND:USW00024232,19610504,56,40
GHCND:USW00024232,19610505,54,44
GHCND:USW00024232,19610506,59,46
GHCND:USW00024232,19610507,59,44
GHCND:USW00024232,19610508,59,49
GHCND:USW00024232,19610509,62,39
GHCND:USW00024232,19610510,57,39
GHCND:USW00024232,19610511,60,42
GHCND:USW00024232,19610512,60,37
GHCND:USW00024232,19610513,56,41
GHCND:USW00024232,19610514,63,43
GHCND:USW00024232,19610515,68,43
GHCND:USW00024232,19610516,77,42
GHCND:USW00024232,19610517,77,44
GHCND:USW00024232,19610518,82,45
GHCND:USW00024232,19610519,87,44
GHCND:USW00024232,19610520,57,50
GHCND:USW00024232,19610521,63,48
GHCND:USW00024232,19610522,61,49
GHCND:USW00024232,19610523,61,42
GHCND:USW00024232,19610524,69,38
GHCND:USW00024232,19610525,71,41
GHCND:USW00024232,19610526,59,48
GHCND:USW00024232,19610527,63,43
GHCND:USW00024232,19610528,71,40
GHCND:USW00024232,19610529,67,44
GHCND:USW00024232,19610530,65,48
GHCND:USW00024232,19610531,74,52
GHCND:USW00024232,19610601,87,55
GHCND:USW00024232,19610602,72,53
GHCND:USW00024232,19610603,78,50
GHCND:USW00024232,19610604,78,48
GHCND:USW00024232,19610605,71,52
GHCND:USW00024232,19610606,63,47
GHCND:USW00024232,19610607,70,39
GHCND:USW00024232,19610608,65,45
GHCND:USW00024232,19610609,64,45
GHCND:USW00024232,19610610,70,41
GHCND:USW00024232,19610611,65,49
GHCND:USW00024232,19610612,73,45
GHCND:USW00024232,19610613,84,42
GHCND:USW00024232,19610614,92,50
GHCND:USW00024232,19610615,97,56
GHCND:USW00024232,19610616,97,61
GHCND:USW00024232,19610617,98,63
GHCND:USW00024232,19610618,77,52
GHCND:USW00024232,19610619,80,51
GHCND:USW00024232,19610620,76,47
GHCND:USW00024232,19610621,80,43
GHCND:USW00024232,19610622,88,48
GHCND:USW00024232,19610623,87,45
GHCND:USW00024232,19610624,90,48
GHCND:USW00024232,19610625,86,51
GHCND:USW00024232,19610626,73,47
GHCND:USW00024232,19610627,71,44
GHCND:USW00024232,19610628,69,47
GHCND:USW00024232,19610629,70,45
GHCND:USW00024232,19610630,77,39
GHCND:USW00024232,19610701,81,46
GHCND:USW00024232,19610702,83,44
GHCND:USW00024232,19610703,79,49
GHCND:USW00024232,19610704,69,55
GHCND:USW00024232,19610705,67,50
GHCND:USW00024232,19610706,65,49
GHCND:USW00024232,19610707,75,45
GHCND:USW00024232,19610708,88,47
GHCND:USW00024232,19610709,90,54
GHCND:USW00024232,19610710,92,48
GHCND:USW00024232,19610711,103,56
GHCND:USW00024232,19610712,104,58
GHCND:USW00024232,19610713,93,61
GHCND:USW00024232,19610714,83,54
GHCND:USW00024232,19610715,85,50
GHCND:USW00024232,19610716,79,57
GHCND:USW00024232,19610717,84,52
GHCND:USW00024232,19610718,88,52
GHCND:USW00024232,19610719,89,52
GHCND:USW00024232,19610720,89,52
GHCND:USW00024232,19610721,86,54
GHCND:USW00024232,19610722,81,56
GHCND:USW00024232,19610723,78,53
GHCND:USW00024232,19610724,78,49
GHCND:USW00024232,19610725,86,46
GHCND:USW00024232,19610726,85,51
GHCND:USW00024232,19610727,77,52
GHCND:USW00024232,19610728,78,58
GHCND:USW00024232,19610729,86,48
GHCND:USW00024232,19610730,87,49
GHCND:USW00024232,19610731,82,48
GHCND:USW00024232,19610801,90,50
GHCND:USW00024232,19610802,94,51
GHCND:USW00024232,19610803,98,52
GHCND:USW00024232,19610804,84,61
GHCND:USW00024232,19610805,80,58
GHCND:USW00024232,19610806,87,49
GHCND:USW00024232,19610807,93,49
GHCND:USW00024232,19610808,82,46
GHCND:USW00024232,19610809,81,53
GHCND:USW00024232,19610810,100,52
GHCND:USW00024232,19610811,97,55
GHCND:USW00024232,19610812,92,64
GHCND:USW00024232,19610813,93,59
GHCND:USW00024232,19610814,73,54
GHCND:USW00024232,19610815,68,55
GHCND:USW00024232,19610816,78,53
GHCND:USW00024232,19610817,87,46
GHCND:USW00024232,19610818,87,47
GHCND:USW00024232,19610819,95,52
GHCND:USW00024232,19610820,92,48
GHCND:USW00024232,19610821,99,58
GHCND:USW00024232,19610822,88,57
